Year,TR,TMR,TFR,SR,MAR
2022,4073239,1990212,2083027,955,42.1
2021,3986842,1953114,2033728,960,41.8
2020,4044210,1977556,2066654,957,41.5
2019,4026209,1969382,2056827,957,41.1
2018,3994283,1955838,2038445,959,40.8
2017,3965796,1943545,2022251,961,40.5
2016,3933559,1929526,2004033,963,40
2015,3902690,1916628,1986062,965,39.6
2014,3870739,1902410,1968329,967,39.3
2013,3844751,1891504,1953247,968,38.9
2012,3818205,1880046,1938159,970,38.4
2011,3789251,1868170,1921081,972,38
2010,3771721,1861133,1910588,974,37.4
2009,3733876,1844732,1889144,976,36.9
2008,3642659,1802992,1839667,980,36.7
2007,3583082,1775477,1807605,982,36.4
2006,3525894,1748242,1777652,983,36.1
2005,3467814,1721139,1746675,985,35.8
2004,3413266,1695031,1718235,986,35.4
2003,3366891,1673401,1693490,988,35
2002,3382944,1684295,1698649,992,34.7
2001,3325902,1658558,1667344,995,34.4
2000,3273363,1634667,1638696,998,34
1999,3229681,1614804,1614877,1000,33.6
1998,3180018,1591816,1588202,1002,33.1
1997,3123403,1565750,1557653,1005,32.7
1996,3068132,1540018,1528113,1008,32.3
1995,3013515,1514015,1499500,1010,31.9
1994,2959350,1489180,1470171,1013,31.5
1993,2904547,1464223,1440324,1017,31
1992,2849754,1439063,1410691,1020,30.6
1991,2794704,1414307,1380397,1025,30.2
1990,2735868,1386291,1349577,1027,29.8
1989,2647627,1341275,1306352,1027,29.3
1988,2598458,1316577,1281880,1027,28.8
1987,2553864,1294187,1259676,1027,28.3
1986,2518598,1276522,1242077,1028,27.8
1985,2482615,1258464,1224150,1028,27.2
1984,2443705,1239109,1204596,1029,26.7
1983,2406165,1220471,1185694,1029,26.1
1982,2365707,1200321,1165385,1030,25.5
1981,2324403,1179799,1144604,1031,24.9
1980,2282125,1159011,1123114,1032,24.4
1979,2383500,1216300,1167200,1042,23.9
1978,2353600,1201400,1152200,1043,23.4
1977,2325300,1187300,1138000,1043,22.9
1976,2293300,1171300,1122000,1044,22.4
1975,2262600,1156100,1106500,1045,21.9
1974,2229800,1139700,1090100,1046,21.4
1973,2193000,1121400,1071600,1046,20.9
1972,2152400,1101100,1051300,1047,20.4
1971,2112900,1081200,1031700,1048,20.1
1970,2013563,1030809,982754,1049,19.5
1969,2042500,1046900,995600,1052,18.9
1968,2012000,1034100,977900,1057,18.5
1967,1977600,1017400,960200,1060,18.2
1966,1934400,995800,938600,1061,17.9
1965,1886900,973800,913100,1066,17.8
1964,1841600,951500,890100,1069,17.8
1963,1795000,929300,865700,1073,17.7
1962,1750200,909500,840700,1082,17.8
1961,1702400,886500,815900,1087,17.9
1960,1646400,859600,786800,1093,18
1959,1587200,830800,756400,1098,18.3
1958,1518800,797600,721200,1106,18.5
1957,1445929,762760,683169,1117,18.8
